Name	Description	Type	Value	Flags			
				Child	Hidden	BoldName	Unique
GS_daimoon_A		Title		0	0	0	0
nazn	Примечание	String	АС	0	0	0	0
zap2txt	Заполнение окна в спецификацию	Boolean	0	0	1	0	0
krugl	Круглое отверстие	Boolean	0	0	0	0	0
asotv	Показывать маркировку отверстия	Boolean	0	0	0	0	0
kirp	Проём в кирпиче	Boolean	0	0	0	0	0
in_sand	Окно в сэндвиче	Boolean	0	0	1	0	0
spec		Title		0	0	0	0
naen	Наименование	String	ОП  900-1 500 (4М1-16-К4)	1	1	0	0
obozn	Обозначение	String	ГОСТ 30674-99	1	1	0	0
tip_spec	Размеры в спецификацию	String	Размер проёма	1	1	0	0
type	Тип	String	ПВХ	1	1	0	0
vid	Вид	String	ОП	1	1	0	0
zap	Заполнение	String	(4М1-16-К4)	1	1	0	0
end_txt	Текст в конце наименования	String		1	0	0	0
Rpriv	Приведенное сопротивление теплопередаче	RealNum	0	1	1	0	0
konst	Конструкция	String		1	1	0	0
ves	Масса ед., кг.	RealNum	0	1	0	0	0
ves_area	Масса кв.м. для ориентировочного расчёта	RealNum	0	1	0	0	0
area_zap	Площадь, кв.м.	RealNum	0	1	0	0	0
razm_unit	Единицы измерения размеров	Integer	1	1	0	0	0
razm_metod	Порядок размеров	Integer	1	1	0	0	0
firest	Огнестойкость	String	Нет	1	0	0	0
naen_otv	Поз. отверстия	String		1	0	0	0
razm	Размеры, мм.	String	400x400(h)	1	0	0	0
otm_niz	Отм. низа отв.	String	2,04	1	0	0	0
razm_otv_B	Ширина отверстия	Length	0.4	1	0	0	0
razm_otv_H	Высота отверстия	Length	0.4	1	0	0	0
pen_nazn	Цвет по назначению	PenColor		1	1	0	0
i_pen	Перо	PenColor	181	1	1	0	0
krat_txt	Кратность размеров	Length	0.005	1	0	0	0
sbros	Сброс положения обозначения проёма	Boolean	0	1	0	0	0
otdel_otk	Отделка откосов	Boolean	0	1	0	0	0
s_otk	Площадь откосов	RealNum	0	1	0	0	0
t_utepl	Толщина утеплителя	Length	0	0	1	0	0
l_podok	Длина подоконника	Length	0	1	0	0	0
t_podok	Ширина подоконника	Length	0	1	0	0	0
GS_daimoon_C		Title		0	0	0	0
perem_otm	Отметки низа марки	String		1	0	0	0
manual_elev	Вручную выставить собственный этаж	Boolean	0	1	0	0	0
n_elev	Номер этажа	Integer	0	1	0	0	0
nes_sloi	Номер несущего слоя	Integer	1	1	1	0	0
otm_ved	Отметки в ведомость	String		1	1	0	0
ur	Уровень	String	2,44	1	0	0	0
ur_num	Уровень числом	Length	16103	0	0	0	0
use_bst	Железобетонное обрамление	Boolean	0	0	0	1	0
bst	Толщина сердечника	Length	0.13	1	0	0	0
raspol	Расположение	String	Оба	1	0	0	0
diam_arm_st_osn	Диаметр основной арматуры 	Length	0.01	1	0	0	0
marka_st_osn	Марка основной	String	A500C	1	0	0	0
diam_arm_st_hom	Диаметр хомутов	Length	0.008	1	0	0	0
marka_st_hom	Марка хомутов	String	A-I(A240)	1	0	0	0
l_vkl	Глубина вклейки арматуры сердечника	Length	0.15	1	0	0	0
f_st	Штриховка	FillPattern	430	1	0	0	0
p_st	Перо плана	PenColor	21	1	0	0	0
p_sech_st	Перо сечения	PenColor	41	1	0	0	0
p_f_st	Перо штриховки	PenColor	1	1	0	0	0
l_left	Продлить влево	Length	0	1	0	0	0
l_right	Продлить вправо	Length	0	1	0	0	0
l_up	Продлить вверх	Length	0	1	0	0	0
l_down	Продлить вниз	Length	0	1	0	0	0
GS_daimoon_B		Title		0	0	0	0
board_gost	ГОСТ подоконной доски	String	ГОСТ 30673-99	0	1	0	0
gs_doorwindow_trim	Обшивка	String	Откл.	0	1	1	0
gs_sill_type	Тип подоконника	String		1	0	0	0
gs_brick_sill_detlev	Уров.3D-деталей кирпич.подокон.	String	Простой	1	0	0	0
gs_boardInPolyWall	Доска в многоуг. стене	String	Параллельно окну	1	0	0	0
gs_sunShade_type	Тип навеса	String	Нет	0	1	1	0
gs_shutPanel_resolHole	Разрешение отвестия	Integer	3	1	0	0	0
gs_masonry_arch	Каменная арка	String	Откл.	0	1	1	0
gs_custom_cc_edit_jamb_side	Редактируемый косяк сбоку	String	Редактируемые оба косяка	1	0	0	0
gs_custom_cc_edit_wall_side	Редактируемая сторона стены	String	Сторона привязки	1	0	0	0
gs_custom_cc_edit_skin	Редактируемый номер слоя	String	1. Слой	1	0	0	0
gs_custom_cc_thickness_type	Толщина поворота внутрь	String	Исходный	1	0	0	0
gs_custom_cc_orientation	Ориентация штриховки	String	Исходный	1	0	0	0
